question,solution,final_answer
A quantity decreased from 140 to 133. Find the percent decrease.,"Step 1: Identify the initial quantity, which is 140.
Step 2: Identify the final quantity, which is 133.
Step 3: Calculate the decrease in quantity by subtracting the final quantity from the initial quantity: 140 - 133 = 7.
Step 4: Calculate the percent decrease by dividing the decrease in quantity by the initial quantity and multiplying by 100: (7/140) * 100 = 5%. 
Step 5: The percent decrease is 5%.",5
"John paid 24% income tax on the total income of $28,000. Find how much money John has made after tax.","Step 1: Identify the total income earned by John, which is $28,000.
Step 2: Understand that John paid 24% income tax on his total income.
Step 3: Calculate the amount of income tax paid by multiplying the total income by the tax rate: $28,000 * 0.24 = $6,720.
Step 4: Subtract the income tax paid from the total income to find the amount of money John has made after tax: $28,000 - $6,720 = $21,280.
Step 5: Therefore, John has made $21,280 after tax.",21280
"A contractor buys a residential property, renovates it, and then sells (flips) it with 25% markup. If the the sale price is $160, 000, find how much the contractor has paid for the property.","Step 1: Let's assume the cost of the property is x dollars.
Step 2: The contractor adds a 25% markup to the cost of the property, which is 0.25x dollars.
Step 3: The selling price of the property is the cost of the property plus the markup, which is x + 0.25x = 1.25x dollars.
Step 4: We are given that the selling price is $160,000, so we can set up the equation 1.25x = 160,000.
Step 5: To solve for x, divide both sides of the equation by 1.25: x = 160,000 / 1.25.
Step 6: Simplifying the right side of the equation, x = 128,000.
Step 7: Therefore, the contractor has paid $128,000 for the property.",128000
"Shannon¡¯s business serves 14 clients per day on average. Find the time needed to serve 518 clients, in days.","Step 1: Identify the average number of clients served per day, which is 14 clients.
Step 2: Understand that the problem is asking for the time needed to serve 518 clients.
Step 3: Divide the total number of clients (518) by the average number of clients served per day (14) to find the number of days needed.
Step 4: Perform the division: 518 clients ¡Â 14 clients/day = 37 days.
Step 5: The time needed to serve 518 clients is 37 days.",37
"Two cars, a Lotus and a Renault, are 635 kilometers apart. They start at the same time and drive toward each other. The Lotus travels at a rate of 70 kilometers per hour and the Renault travels at 57 kilometers per hour. In how many hours will the two cars meet?","Step 1: Identify the distance between the two cars, which is 635 kilometers.
Step 2: Determine the rate at which the Lotus is traveling, which is 70 kilometers per hour.
Step 3: Determine the rate at which the Renault is traveling, which is 57 kilometers per hour.
Step 4: Understand that the two cars are moving towards each other, so their combined rate is the sum of their individual rates.
Step 5: Add the rates of the Lotus and the Renault to find the combined rate: 70 km/h + 57 km/h = 127 km/h.
Step 6: Use the formula distance = rate ¡Á time to find the time it takes for the two cars to meet.
Step 7: Substitute the values into the formula: 635 km = 127 km/h ¡Á time.
Step 8: Solve for time by dividing both sides of the equation by 127 km/h: time = 635 km / 127 km/h.
Step 9: Simplify the expression: time = 5 hours.
Step 10: The two cars will meet in 5 hours.",5
"Jane¡¯s monthly car loan payment is one quarter of her monthly house loan payment. Find her monthly car loan payment rate, in dollars per month, if Jane pays 19200 dollars in total over the course of the year.","Step 1: Let's assume the monthly car loan payment rate as ""x"" dollars per month.
Step 2: Since Jane's monthly car loan payment is one quarter of her monthly house loan payment, her monthly house loan payment rate would be 4 times the car loan payment rate, which is 4x dollars per month.
Step 3: To find the total amount paid over the course of the year, we multiply the monthly payment rate by 12 (months in a year). So, the total car loan payment for the year would be 12x dollars.
Step 4: According to the problem, Jane pays a total of 19200 dollars over the course of the year. Therefore, we can set up the equation 12x = 19200.
Step 5: To solve for x, divide both sides of the equation by 12: x = 19200 / 12.
Step 6: Simplifying the equation, we find that x = 1600.
Step 7: Therefore, Jane's monthly car loan payment rate is 1600 dollars per month.",320
"In the morning, the temperature in Urbana, Illinois was 11 degrees. By mid-afternoon, the temperature had dropped to ?9 degrees. What was the difference of the morning and afternoon temperatures?","Solution:
Step 1: Identify the morning temperature, which is 11 degrees.
Step 2: Identify the afternoon temperature, which is -9 degrees.
Step 3: Calculate the difference between the morning and afternoon temperatures by subtracting the afternoon temperature from the morning temperature: 11 degrees - (-9 degrees).
Step 4: Simplify the subtraction: 11 degrees + 9 degrees.
Step 5: Perform the addition: 20 degrees.
Step 6: The difference between the morning and afternoon temperatures is 20 degrees.",20
The Mustangs football team received three penalties in the third quarter. Each penalty gave them a loss of fifteen yards. What is the number of yards lost?,"Solution:
Step 1: Identify the number of penalties received by the Mustangs football team in the third quarter, which is three penalties.
Step 2: Understand that each penalty results in a loss of fifteen yards.
Step 3: Multiply the number of penalties (3) by the loss of yards per penalty (15 yards) to find the total yards lost.
Step 4: The total number of yards lost is 3 penalties * 15 yards/penalty = 45 yards.",45
"On January  15, the high temperature in Anaheim, California, was  84¡ã. That same day, the high temperature in Embarrass, Minnesota was  ?12¡ã. What was the difference between the temperature in Anaheim and the temperature in Embarrass?","Solution:
Step 1: Identify the high temperature in Anaheim, California, which is 84¡ã.
Step 2: Identify the high temperature in Embarrass, Minnesota, which is -12¡ã.
Step 3: Calculate the difference between the temperatures by subtracting the temperature in Embarrass from the temperature in Anaheim: 84¡ã - (-12¡ã).
Step 4: Simplify the subtraction: 84¡ã + 12¡ã.
Step 5: Add the temperatures: 84¡ã + 12¡ã = 96¡ã.
Step 6: The difference between the temperature in Anaheim and the temperature in Embarrass is 96¡ã.",96
"On the first down, the Chargers had the ball on their 25-yard line. They lost 6 yards on the first-down play, gained 10 yards on the second-down play, and lost 8 yards on the third-down play. What was the yard line at the end of the third-down play?","Solution:
Step 1: Start with the Chargers having the ball on their 25-yard line.
Step 2: On the first-down play, they lost 6 yards. Subtract 6 from the starting yard line to find the new yard line.
Step 3: On the second-down play, they gained 10 yards. Add 10 to the new yard line from step 2 to find the updated yard line.
Step 4: On the third-down play, they lost 8 yards. Subtract 8 from the updated yard line in step 3 to find the final yard line at the end of the third-down play.",21
Mayra has $124 in her checking account. She writes a check for $152. What is the new balance in her checking account?,"Step 1: Identify the initial balance in Mayra's checking account, which is $124.
Step 2: Understand that Mayra writes a check for $152.
Step 3: Subtract the amount of the check ($152) from the initial balance ($124).
Step 4: The new balance in Mayra's checking account is $124 - $152 = -$28.",-28
Diontre has a balance of ?$38 in his checking account. He deposits $225 to the account. What is the new balance?,"Step 1: Identify the initial balance in Diontre's checking account, which is -$38.
Step 2: Understand that Diontre deposits $225 into the account.
Step 3: Add the deposit of $225 to the initial balance of -$38.
Step 4: The new balance in Diontre's checking account is -$38 + $225 = $187.",187
"Javier owns 300 shares of stock in one company. On Tuesday, the stock price dropped $12 per share. What was the total effect on Javier¡¯s portfolio?","Step 1: Identify the number of shares Javier owns, which is 300 shares.
Step 2: Understand that the stock price dropped $12 per share.
Step 3: Calculate the total effect on Javier's portfolio by multiplying the number of shares by the drop in stock price: 300 shares * $12 = $3600.
Step 4: The total effect on Javier's portfolio is a decrease of $3600.",-3600
Don purchased a bulk package of candy that weighs 5 pounds. He wants to sell the candy in little bags that hold 14 pound. How many little bags of candy can he fill from the bulk package?,"Step 1: Identify the weight of the bulk package of candy, which is 5 pounds.
Step 2: Determine the weight of each little bag of candy, which is 14 pounds.
Step 3: Divide the weight of the bulk package (5 pounds) by the weight of each little bag (14 pounds) to find the number of little bags that can be filled.
Step 4: Perform the division: 5 pounds ¡Â 14 pounds = 0.3571 (rounded to four decimal places).
Step 5: Since we cannot have a fraction of a bag, round down the result to the nearest whole number.
Step 6: The number of little bags of candy that can be filled from the bulk package is 0 (rounded down to the nearest whole number).",20
"Field trip All the 5th graders at Lincoln Elementary School will go on a field trip to the science museum. Counting all the children, teachers, and chaperones, there will be 147 people. Each bus holds 44 people. How many busses will be needed?","Step 1: Count the total number of people going on the field trip, including children, teachers, and chaperones, which is 147 people.
Step 2: Determine the capacity of each bus, which is 44 people.
Step 3: Divide the total number of people by the capacity of each bus to find the number of buses needed. 
Step 4: Divide 147 people by 44 people per bus to get the number of buses needed. 
Step 5: The number of buses needed is the quotient of 147 divided by 44.",4
Julian drinks one can of soda every day. Each can of soda contains 40 grams of sugar. How many kilograms of sugar does Julian get from soda in 1 year?,"Solution:
Step 1: Identify the amount of sugar in one can of soda, which is 40 grams.
Step 2: Understand that Julian drinks one can of soda every day.
Step 3: Calculate the amount of sugar Julian gets from soda in one day by multiplying the amount of sugar in one can (40 grams) by the number of cans Julian drinks in one day (1 can).
Step 4: Calculate the amount of sugar Julian gets from soda in one year by multiplying the amount of sugar Julian gets in one day by the number of days in a year (365 days).
Step 5: Convert the total amount of sugar from grams to kilograms by dividing the result from step 4 by 1000 (since there are 1000 grams in a kilogram).
Step 6: The total amount of sugar Julian gets from soda in 1 year is the result from step 5.",14.6
"The high temperature one day in Miami Beach, Florida, was 76¡ã . That same day, the high temperature in Buffalo, New York was ?8¡ã . What was the difference between the temperature in Miami Beach and the temperature in Buffalo?","Step 1: Identify the high temperature in Miami Beach, Florida, which is 76¡ã.
Step 2: Identify the high temperature in Buffalo, New York, which is -8¡ã.
Step 3: Calculate the difference between the temperatures by subtracting the temperature in Buffalo from the temperature in Miami Beach: 76¡ã - (-8¡ã).
Step 4: Simplify the subtraction: 76¡ã + 8¡ã.
Step 5: Add the temperatures: 76¡ã + 8¡ã = 84¡ã.
Step 6: The difference between the temperature in Miami Beach and the temperature in Buffalo is 84¡ã.",84
"The MacIntyre family recycled newspapers for two months. The two months of newspapers weighed a total of 57 pounds. The second month, the newspapers weighed 28 pounds. How much did the newspapers weigh the first month?","Solution:
Step 1: Let's assume the weight of newspapers in the first month as ""x"" pounds.
Step 2: We know that the total weight of newspapers for two months is 57 pounds.
Step 3: So, the equation representing the given information is x + 28 = 57.
Step 4: To find the weight of newspapers in the first month, we need to solve the equation for x.
Step 5: Subtract 28 from both sides of the equation: x = 57 - 28.
Step 6: Simplify the right side of the equation: x = 29.
Step 7: Therefore, the newspapers weighed 29 pounds in the first month.",29
"Randell paid $28,675 for his new car. This was $875 less than the sticker price. What was the sticker price of the car?","Step 1: Let's assume the sticker price of the car is represented by the variable ""x"".
Step 2: According to the problem, Randell paid $875 less than the sticker price, so we can write the equation: x - $875 = $28,675.
Step 3: To find the sticker price, we need to isolate the variable ""x"". Add $875 to both sides of the equation: x - $875 + $875 = $28,675 + $875.
Step 4: Simplify the equation: x = $29,550.
Step 5: Therefore, the sticker price of the car was $29,550.",29550
"Avril rode her bike a total of 18 miles, from home to the library and then to the beach. The distance from Avril¡¯s house to the library is 7 miles. What is the distance from the library to the beach, in miles?","Solution:
Step 1: Identify the total distance Avril rode, which is 18 miles.
Step 2: Determine the distance from Avril's house to the library, which is 7 miles.
Step 3: Subtract the distance from Avril's house to the library from the total distance to find the distance from the library to the beach.
Step 4: The distance from the library to the beach is 18 miles - 7 miles = 11 miles.",11
Eva¡¯s daughter is 15 years younger than her son. Eva¡¯s son is 22 years old. How old is her daughter?,"Solution:
Step 1: Identify the age of Eva's son, which is 22 years old.
Step 2: Understand that Eva's daughter is 15 years younger than her son.
Step 3: Subtract 15 years from the age of Eva's son to find the age of her daughter.
Step 4: The age of Eva's daughter is 22 years - 15 years = 7 years.",7
"For a family birthday dinner, Celeste bought a turkey that weighed 5 pounds less than the one she bought for Thanksgiving. The birthday turkey weighed 16 pounds. How much did the Thanksgiving turkey weigh, in pounds?","Step 1: Identify the weight of the birthday turkey, which is 16 pounds.
Step 2: Understand that the birthday turkey weighs 5 pounds less than the Thanksgiving turkey.
Step 3: Subtract the 5 pounds from the weight of the birthday turkey to find the weight of the Thanksgiving turkey.
Step 4: The weight of the Thanksgiving turkey is 16 pounds + 5 pounds = 21 pounds.",21
Connor¡¯s temperature was 0.7 degrees higher this morning than it had been last night. His temperature this morning was 101.2 degrees. What was his temperature last night?,"Solution:
Step 1: Identify Connor's temperature this morning, which is 101.2 degrees.
Step 2: Understand that his temperature this morning was 0.7 degrees higher than last night.
Step 3: Subtract the additional 0.7 degrees from his temperature this morning to find his temperature last night.
Step 4: Connor's temperature last night was 101.2 degrees - 0.7 degrees = 100.5 degrees.",100.5
Ron¡¯s paycheck this week was $17.43 less than his paycheck last week. His paycheck this week was $103.76. How much was Ron¡¯s paycheck last week?,"Step 1: Identify the amount of Ron's paycheck this week, which is $103.76.
Step 2: Understand that Ron's paycheck this week was $17.43 less than his paycheck last week.
Step 3: Subtract the $17.43 from Ron's paycheck this week to find the amount of his paycheck last week.
Step 4: Ron's paycheck last week was $103.76 + $17.43 = $121.19.",121.19
Denae bought 6 pounds of grapes for $10.74. What was the cost of one pound of grapes?,"Solution:
Step 1: Identify the total cost of the grapes, which is $10.74.
Step 2: Determine the total weight of the grapes, which is 6 pounds.
Step 3: Divide the total cost of the grapes by the total weight to find the cost per pound.
Step 4: Calculate the cost per pound by dividing $10.74 by 6 pounds.
Step 5: The cost of one pound of grapes is $10.74 ¡Â 6 = $1.79.",1.79
"Andreas bought a used car for $12,000. Because the car was 4-years old, its price was 3/4 of the original price, when the car was new. What was the original price of the car?","Solution:
Step 1: Let's assume the original price of the car is ""x"" dollars.
Step 2: According to the problem, the car's price after 4 years is 3/4 of the original price, which can be represented as (3/4)x dollars.
Step 3: We know that the car was bought for $12,000, so we can set up the equation (3/4)x = $12,000.
Step 4: To solve for x, we need to isolate it on one side of the equation. Multiply both sides of the equation by (4/3) to cancel out the fraction: (4/3)(3/4)x = (4/3)($12,000).
Step 5: Simplifying, we get x = (4/3)($12,000).
Step 6: Multiply (4/3) by $12,000 to find the original price of the car.
Step 7: The original price of the car is x = $16,000.",16000
Ramona bought 18 balloons for a party. She wants to make 3 equal bunches. How many balloons did she use in each bunch?,"Solution:
Step 1: Identify the total number of balloons Ramona bought, which is 18.
Step 2: Understand that Ramona wants to make 3 equal bunches.
Step 3: Divide the total number of balloons by the number of bunches to find the number of balloons in each bunch. 
Step 4: Divide 18 balloons by 3 bunches to get 6 balloons in each bunch.",6
Serena paid $12.96 for a pack of 12 pairs of sport socks. What was the price of pair of sport socks?,"Solution:
Step 1: Identify the total cost of the pack of 12 pairs of sport socks, which is $12.96.
Step 2: Understand that the pack contains 12 pairs of sport socks.
Step 3: Divide the total cost of $12.96 by the number of pairs in the pack, which is 12.
Step 4: The price of each pair of sport socks is $12.96 ¡Â 12 = $1.08.",1.08
John¡¯s SUV gets 18 miles per gallon (mpg). This is half as many mpg as his wife¡¯s hybrid car. How many miles per gallon does the hybrid car get?,"Step 1: Identify the number of miles per gallon (mpg) that John's SUV gets, which is 18 mpg.
Step 2: Understand that John's SUV gets half as many mpg as his wife's hybrid car.
Step 3: Divide the number of mpg of John's SUV by 2 to find the number of mpg of his wife's hybrid car.
Step 4: The hybrid car gets 18 mpg / 2 = 9 mpg.",36
"Bea earned $11,700 commission for selling a house, calculated as 6/100 selling price. What was the selling price of the house?","Step 1: Let's assume the selling price of the house is ""x"" dollars.
Step 2: According to the given information, Bea earned a commission of 6/100 (or 0.06) of the selling price.
Step 3: Calculate the commission earned by multiplying the selling price by the commission rate: 0.06 * x = 11,700.
Step 4: Solve the equation for x by dividing both sides by 0.06: x = 11,700 / 0.06.
Step 5: Simplify the right side of the equation: x = 195,000.
Step 6: Therefore, the selling price of the house was $195,000.",195000
"Rey is planning to drive from his house in San Diego to visit his grandmother in Sacramento, a distance of 520 miles. If he can drive at a steady rate of 65 miles per hour, how many hours will the trip take?","Step 1: Identify the distance Rey needs to travel, which is 520 miles.
Step 2: Determine the rate at which Rey can drive, which is 65 miles per hour.
Step 3: Divide the distance by the rate to find the time it will take for the trip. 520 miles ¡Â 65 miles per hour = 8 hours.
Step 4: The trip will take 8 hours.",8
"Megan is taking the bus from New York City to Montreal. The distance is 380 miles and the bus travels at a steady rate of 76 miles per hour. How long will the bus ride be, in hours?","Step 1: Identify the distance of the bus ride, which is 380 miles.
Step 2: Determine the speed of the bus, which is 76 miles per hour.
Step 3: Divide the distance of the bus ride by the speed of the bus to find the time it will take. 380 miles ¡Â 76 miles per hour = 5 hours.
Step 4: The bus ride will be 5 hours long.",5
"Kareem wants to ride his bike from St. Louis to Champaign, Illinois. The distance is 180 miles. If he rides at a steady rate of 16 miles per hour, how many hours will the trip take?","Step 1: Identify the distance of the trip, which is 180 miles.
Step 2: Understand that Kareem rides at a steady rate of 16 miles per hour.
Step 3: Divide the distance of 180 miles by the rate of 16 miles per hour.
Step 4: The trip will take 180 miles / 16 miles per hour = 11.25 hours.",11.25
"Alejandra is driving to Cincinnati, 450 miles away. If she wants to be there in 6 hours, at what rate does she need to drive, in miles per hour?","Step 1: Identify the distance Alejandra needs to travel, which is 450 miles.
Step 2: Determine the time she wants to reach her destination, which is 6 hours.
Step 3: Divide the distance by the time to find the required rate of driving: 450 miles / 6 hours = 75 miles per hour.
Step 4: Alejandra needs to drive at a rate of 75 miles per hour to reach Cincinnati in 6 hours.",75
"Philip got a ride with a friend from Denver to Las Vegas, a distance of 750 miles. If the trip took 10 hours, how fast was the friend driving, in miles per hour?","Step 1: Identify the distance of the trip, which is 750 miles.
Step 2: Determine the time it took for the trip, which is 10 hours.
Step 3: Use the formula speed = distance / time to calculate the friend's driving speed.
Step 4: Substitute the values into the formula: speed = 750 miles / 10 hours.
Step 5: Simplify the expression: speed = 75 miles per hour.
Step 6: The friend was driving at a speed of 75 miles per hour.",75
Tan weighs 146 pounds. Minh weighs 15 pounds more than Tan. How much does Minh weigh?,"Solution:
Step 1: Identify Tan's weight, which is 146 pounds.
Step 2: Understand that Minh weighs 15 pounds more than Tan.
Step 3: Add the additional 15 pounds to Tan's weight.
Step 4: The total weight of Minh is 146 pounds + 15 pounds = 161 pounds.",161
"Elissa earned $152.84 this week, which was $21.65 more than she earned last week. How much did she earn last week?","Step 1: Identify the amount of money Elissa earned this week, which is $152.84.
Step 2: Understand that this week's earnings were $21.65 more than last week's earnings.
Step 3: Subtract the additional $21.65 from this week's earnings to find out how much Elissa earned last week.
Step 4: The amount Elissa earned last week is $152.84 - $21.65 = $131.19.",131.19
Janet gets paid $24 per hour. She heard that this is 3/4 of what Adam is paid. How much is Adam paid per hour?,"Solution:
Step 1: Let's assume Adam's hourly wage as ""x"" dollars.
Step 2: According to the problem, Janet gets paid $24 per hour, which is 3/4 of what Adam is paid. So, we can write the equation: 24 = (3/4) * x.
Step 3: To solve for x, we need to isolate it on one side of the equation. Multiply both sides of the equation by 4/3: (4/3) * 24 = (4/3) * (3/4) * x.
Step 4: Simplify the equation: 32 = x.
Step 5: Therefore, Adam is paid $32 per hour.",32
"Two-thirds of the children in the fourth-grade class are girls. If there are 20 girls, what is the total number of children in the class?","Step 1: Identify the number of girls in the fourth-grade class, which is 20.
Step 2: Understand that two-thirds of the children in the class are girls.
Step 3: Determine the total number of children in the class by finding the number that represents two-thirds of the class.
Step 4: To find two-thirds of the class, multiply the number of girls (20) by 3/2.
Step 5: Calculate 20 * (3/2) = 30.
Step 6: The total number of children in the fourth-grade class is 30.",30
"Zachary has 25 country music CDs, which is one-fifth of his CD collection. How many CDs does Zachary have?","Solution:
Step 1: Identify the number of country music CDs in Zachary's collection, which is 25.
Step 2: Understand that the country music CDs make up one-fifth of Zachary's CD collection.
Step 3: Determine the total number of CDs in Zachary's collection by multiplying the number of country music CDs by 5.
Step 4: The total number of CDs Zachary has is 25 CDs * 5 = 125 CDs.",125
There are 16 girls in a school club. The number of girls is four more than twice the number of boys. Find the number of boys.,"Step 1: Let's assume the number of boys in the school club is ""x"".
Step 2: According to the problem, the number of girls is four more than twice the number of boys, so the number of girls can be represented as 2x + 4.
Step 3: We know that the total number of girls and boys in the club is 16, so we can set up the equation: x + (2x + 4) = 16.
Step 4: Simplify the equation: 3x + 4 = 16.
Step 5: Subtract 4 from both sides of the equation: 3x = 12.
Step 6: Divide both sides of the equation by 3: x = 4.
Step 7: Therefore, the number of boys in the school club is 4.",6
Huong is organizing paperback and hardback books for her club¡¯s used book sale. The number of paperbacks is 12 less than three times the number of hardbacks. Huong had 162 paperbacks. How many hardback books were there?,"Step 1: Let's assume the number of hardback books as ""x"".
Step 2: According to the problem, the number of paperbacks is 12 less than three times the number of hardbacks, so the number of paperbacks can be expressed as 3x - 12.
Step 3: We are given that there are 162 paperbacks, so we can set up the equation 3x - 12 = 162.
Step 4: To solve the equation, we can add 12 to both sides to isolate the term with ""x"": 3x = 174.
Step 5: Divide both sides of the equation by 3 to solve for ""x"": x = 58.
Step 6: Therefore, there were 58 hardback books.",58
"Philip pays $1,620 in rent every month. This amount is $120 more than twice what his brother Paul pays for rent. How much does Paul pay for rent?","Step 1: Let's assume the amount of rent Paul pays as ""x"" dollars.
Step 2: According to the problem, Philip pays $120 more than twice what Paul pays for rent. So, Philip pays 2x + $120 dollars for rent.
Step 3: We know that Philip pays $1,620 in rent every month. Therefore, we can set up the equation 2x + $120 = $1,620.
Step 4: To solve the equation, we need to isolate the variable. Subtract $120 from both sides of the equation: 2x = $1,620 - $120.
Step 5: Simplify the right side of the equation: 2x = $1,500.
Step 6: Divide both sides of the equation by 2 to solve for x: x = $1,500 / 2.
Step 7: Calculate the value of x: x = $750.
Step 8: Therefore, Paul pays $750 for rent.",750
"Laurie has $46,000 invested in stocks and bonds. The amount invested in stocks is $8,000 less than three times the amount invested in bonds. How much does Laurie have invested in bonds?","Step 1: Let's assume the amount invested in bonds is ""x"" dollars.
Step 2: According to the problem, the amount invested in stocks is $8,000 less than three times the amount invested in bonds. So, the amount invested in stocks is (3x - $8,000) dollars.
Step 3: The total amount invested in stocks and bonds is $46,000. Therefore, we can write the equation: x + (3x - $8,000) = $46,000.
Step 4: Simplify the equation: 4x - $8,000 = $46,000.
Step 5: Add $8,000 to both sides of the equation: 4x = $54,000.
Step 6: Divide both sides of the equation by 4: x = $13,500.
Step 7: Therefore, Laurie has $13,500 invested in bonds.",13500
The sum of a number and eight is 12. Find the number.,"Step 1: Let's represent the unknown number as ""x"".
Step 2: Translate the given information into an equation: x + 8 = 12.
Step 3: Subtract 8 from both sides of the equation to isolate the variable: x = 12 - 8.
Step 4: Simplify the right side of the equation: x = 4.
Step 5: Therefore, the number is 4.",4
The sum of three times a number and eight is 23. Find the number.,"Step 1: Let's assume the number as 'x'.
Step 2: Write the equation based on the given information: 3x + 8 = 23.
Step 3: Subtract 8 from both sides of the equation: 3x = 23 - 8.
Step 4: Simplify the right side of the equation: 3x = 15.
Step 5: Divide both sides of the equation by 3 to isolate the variable: x = 15/3.
Step 6: Simplify the right side of the equation: x = 5.
Step 7: Therefore, the number is 5.",5
Three times the sum of a number and nine is 12. Find the number.,"Step 1: Let's assume the number as 'x'.
Step 2: The sum of the number and nine is x + 9.
Step 3: Three times the sum of the number and nine is 3(x + 9).
Step 4: According to the problem, three times the sum of the number and nine is equal to 12, so we have the equation 3(x + 9) = 12.
Step 5: Distribute the 3 to both terms inside the parentheses, giving us 3x + 27 = 12.
Step 6: Subtract 27 from both sides of the equation to isolate the variable, resulting in 3x = 12 - 27.
Step 7: Simplify the right side of the equation, giving us 3x = -15.
Step 8: Divide both sides of the equation by 3 to solve for x, resulting in x = -15/3.
Step 9: Simplify the right side of the equation, giving us x = -5.
Step 10: Therefore, the number is -5.",-5
Patty paid $35 for a purse on sale for $10 off the original price. What was the original price of the purse?,"Step 1: Identify the sale price of the purse, which is $35.
Step 2: Understand that the sale price is $10 off the original price.
Step 3: Subtract the discount of $10 from the sale price of $35.
Step 4: The original price of the purse is $35 + $10 = $45.",45
Minh spent $6.25 on five sticker books to give his nephews. Find the cost of each sticker book.,"Step 1: Identify the total amount of money spent by Minh, which is $6.25.
Step 2: Determine the number of sticker books purchased by Minh, which is five.
Step 3: Divide the total amount spent by the number of sticker books to find the cost of each sticker book. 
Step 4: $6.25 ¡Â 5 = $1.25.
Step 5: The cost of each sticker book is $1.25.",1.25
"Tom paid $1,166.40 for a new refrigerator, including $86.40 tax. What was the price of the refrigerator?","Step 1: Identify the total amount paid by Tom for the new refrigerator, which is $1,166.40.
Step 2: Understand that the total amount paid includes $86.40 in tax.
Step 3: Subtract the tax amount from the total amount paid to find the price of the refrigerator.
Step 4: The price of the refrigerator is $1,166.40 - $86.40 = $1,080.",1080
"Dezohn and his girlfriend enjoyed a nice dinner at a restaurant and his bill was $68.50. He wants to leave an 18% tip. If the tip will be 18% of the total bill, how much tip should he leave?","Step 1: Identify the total bill amount, which is $68.50.
Step 2: Understand that the tip percentage is 18% of the total bill.
Step 3: Calculate the tip amount by multiplying the total bill by the tip percentage: $68.50 * 0.18 = $12.33.
Step 4: Dezohn should leave a tip of $12.33.",12.33
"The label on Masao¡¯s breakfast cereal said that one serving of cereal provides 85 milligrams (mg) of potassium, which is 2% of the recommended daily amount. What is the total recommended daily amount of potassium?","Step 1: Identify the amount of potassium provided by one serving of cereal, which is 85 milligrams (mg).
Step 2: Understand that this amount is equivalent to 2% of the recommended daily amount of potassium.
Step 3: Set up a proportion to find the total recommended daily amount of potassium.
   Let x be the total recommended daily amount of potassium.
   85 mg / x = 2% / 100%
Step 4: Simplify the proportion by converting 2% to a decimal.
   85 mg / x = 0.02
Step 5: Cross multiply to solve for x.
   85 mg * 100% = 0.02 * x
   85 mg = 0.02x
Step 6: Divide both sides of the equation by 0.02 to isolate x.
   85 mg / 0.02 = x
   4250 mg = x
Step 7: The total recommended daily amount of potassium is 4250 milligrams.",4250
"Mitzi received some gourmet brownies as a gift. The wrapper said each brownie was 480 calories, and had 240 calories of fat. What percent of the total calories in each brownie comes from fat?","Step 1: Identify the total number of calories in each brownie, which is 480 calories.
Step 2: Determine the number of calories that come from fat in each brownie, which is 240 calories.
Step 3: Divide the number of calories from fat by the total number of calories and multiply by 100 to find the percentage of calories that come from fat.
Step 4: Calculate the percentage: (240 calories / 480 calories) * 100 = 50%. 
Therefore, 50% of the total calories in each brownie comes from fat.",50
The average price of a gallon of gas in one city in June 2014 was $3.71. The average price in that city in July was $3.64. Find the percent decrease.,"Step 1: Identify the average price of a gallon of gas in June 2014, which is $3.71.
Step 2: Identify the average price of a gallon of gas in July, which is $3.64.
Step 3: Calculate the decrease in price by subtracting the average price in July from the average price in June: $3.71 - $3.64 = $0.07.
Step 4: Calculate the percent decrease by dividing the decrease in price by the average price in June and multiplying by 100: ($0.07 / $3.71) * 100 = 1.89%.
Step 5: The percent decrease in the average price of a gallon of gas from June to July is 1.89%.",1.9
Geneva treated her parents to dinner at their favorite restaurant. The bill was $74.25. Geneva wants to leave 16% of the total bill as a tip. How much should the tip be?,"Step 1: Identify the total bill amount, which is $74.25.
Step 2: Determine the percentage of the total bill that Geneva wants to leave as a tip, which is 16%.
Step 3: Calculate the tip amount by multiplying the total bill by the tip percentage: $74.25 * 0.16 = $11.88.
Step 4: The tip amount should be $11.88.",11.88
Trong has 12% of each paycheck automatically deposited to his savings account. His last paycheck was $2165. How much money was deposited to Trong¡¯s savings account?,"Step 1: Identify the percentage of Trong's paycheck that is automatically deposited to his savings account, which is 12%.
Step 2: Understand that Trong's last paycheck was $2165.
Step 3: Calculate the amount of money that is automatically deposited to Trong's savings account by multiplying his paycheck by the percentage: $2165 * 12%.
Step 4: Convert the percentage to decimal form by dividing it by 100: 12% / 100 = 0.12.
Step 5: Multiply Trong's paycheck by the decimal form of the percentage to find the amount deposited to his savings account: $2165 * 0.12.
Step 6: Calculate the final answer: $259.80. Therefore, $259.80 was deposited to Trong's savings account.",259.8
"One serving of oatmeal has eight grams of fiber, which is 33% of the recommended daily amount. What is the total recommended daily amount of fiber, in grams?","Step 1: Identify the amount of fiber in one serving of oatmeal, which is eight grams.
Step 2: Understand that this amount represents 33% of the recommended daily amount of fiber.
Step 3: Divide the amount of fiber in one serving of oatmeal (eight grams) by the percentage (33%) to find the recommended daily amount of fiber.
Step 4: Divide eight grams by 0.33 to find the recommended daily amount of fiber.
Step 5: The total recommended daily amount of fiber is approximately 24.24 grams.",24.2
